id,tcga_code
ACH-000830,SCLC
ACH-000586,SCLC
ACH-000382,SCLC
ACH-000608,OV
ACH-000982,COAD/READ
ACH-000619,HNSC
ACH-000508,SCLC
ACH-000743,SCLC
ACH-000735,HNSC
ACH-000606,HNSC
ACH-001047,SCLC
ACH-001183,BLCA
ACH-000732,HNSC
ACH-000688,OV
ACH-000926,COAD/READ
ACH-000704,OV
ACH-000935,COAD/READ
ACH-000116,OV
ACH-000652,PAAD
ACH-001113,
ACH-000263,LAML
ACH-000226,
ACH-000361,LIHC
ACH-000696,OV
ACH-000924,UNABLE TO CLASSIFY
ACH-000961,UCEC
ACH-000628,LUAD
ACH-000945,LUAD
ACH-000677,LUAD
ACH-000646,OV
ACH-000400,COAD/READ
ACH-000053,
ACH-000332,PAAD
ACH-000547,BLCA
ACH-000740,HNSC
ACH-000840,LUAD
ACH-000244,GBM
ACH-000907,KIRC
ACH-000834,BLCA
ACH-000944,DLBC
ACH-001075,
ACH-000520,OV
ACH-000040,GBM
ACH-001233,LUAD
ACH-000712,LUAD
ACH-000833,SARC
ACH-000720,BLCA
ACH-000736,STAD
ACH-000518,HNSC
ACH-000344,STAD
ACH-000257,SCLC
ACH-000738,GBM
ACH-000524,UNABLE TO CLASSIFY
ACH-001043,LCML
ACH-000864,UCEC
ACH-001101,PAAD
ACH-001072,SKCM
ACH-000407,UCEC
ACH-001037,LAML
ACH-000316,LIHC
ACH-001084,COAD/READ
ACH-000110,STAD
ACH-000109,LUAD
ACH-000898,STAD
ACH-000543,GBM
ACH-000991,COAD/READ
ACH-000788,SKCM
ACH-001094,MM
ACH-000999,COAD/READ
ACH-000549,HNSC
ACH-000989,COAD/READ
ACH-000955,COAD/READ
ACH-000623,GBM
ACH-000426,MM
ACH-000466,STAD
ACH-000461,
ACH-000209,
ACH-000868,LUAD
ACH-000710,LUAD
ACH-000289,GBM
ACH-000762,HNSC
ACH-000368,GBM
ACH-000708,COAD/READ
ACH-000500,HNSC
ACH-000141,
ACH-000630,HNSC
ACH-000268,
ACH-000377,
ACH-000517,PAAD
